# for the elements 1-103 and all mol. in the GP3 fit set
# average Hirshfeld charges (col 2) and q-vSZP CN (col 3)
# CN/AC values averaged
# Thu Apr 18 08:53:53 CEST 2024
           1  3.943834858121028E-002  0.392107130194450     
           2  8.350069593223589E-002  8.105578447136906E-002
           3  0.224099080403601       0.991005665795985     
           4  0.124357658093702       0.749951258771420     
           5  5.444579768400955E-002   1.15437253100212     
           6 -8.490959279665408E-003   1.66914161822950     
           7 -0.127500860446933        1.42502747232808     
           8 -0.248910794931116       0.871805073234202     
           9 -0.217047059422607       0.633401380888131     
          10  9.877375631009190E-002  8.767100282191988E-002
          11  0.310076137779227       0.874064634821176     
          12  0.306909141188192       0.875476607806435     
          13  0.299577836100000        1.21471831666950     
          14  0.156932152483477        1.13350453122274     
          15  0.149953059502808        1.68906101665151     
          16 -0.104532867288320        1.02215789384886     
          17 -0.191724309585181       0.538637063502939     
          18  0.116834966931051       8.277911627797634E-002
          19  0.350562862607751        1.40962542413581     
          20  0.375979947795164        1.19547226647628     
          21  0.536453619142612        1.51421410511560     
          22  0.536126100774487        1.78920029809891     
          23  0.398556381470623        2.06461197136042     
          24  0.401941184728676        1.69056402038790     
          25  0.149021629998955        1.65637266555774     
          26  7.598735532123892E-002   1.51284180836258     
          27  6.966929884068444E-002   1.31789697822829     
          28  4.506196162809666E-002  0.974980539223221     
          29  0.182531498979720       0.533461395382147     
          30  0.282735043705279       0.658499422470869     
          31  0.261285682060924       0.969653369434238     
          32  0.165480135353107        1.00830965182380     
          33  8.206227052286122E-002   1.08709869976654     
          34 -5.701200524107886E-002  0.822223904716846     
          35 -0.160301242578901       0.544926742439862     
          36  0.172312742562213       0.164712202025263     
          37  0.407658324247826        1.24907704803558     
          38  0.502484280282432        1.21986633034626     
          39  0.569699686543000        1.56573745506469     
          40  0.546144883941237        1.86975742825783     
          41  0.585343964598162        1.89478946477379     
          42  0.393432248812295        1.70849652079369     
          43  0.172945309395951        1.55213051845534     
          44  0.225030565355927        1.49032873457659     
          45  0.262239741496721        1.31774480665310     
          46  0.328524590832326       0.699171023957801     
          47  0.248600125841990       0.552822083954127     
          48  0.292696801658640       0.664223631240628     
          49  0.345373157863921       0.906983485066115     
          50  0.211839103953790        1.09761765079469     
          51  0.277910359623815        1.21829557026821     
          52  1.338160082906815E-002  0.732185420021165     
          53 -0.136042791518473       0.549866553260487     
          54  0.231031257700758       0.246705101252795     
          55  0.406682047842194        1.56805895307665     
          56  0.497354878889384        1.16772716947833     
          57  0.626683973619868        1.66425178647336     
          58  0.565592                 1.60326
          59  0.565592                 1.60326
          60  0.565592                 1.60326
          61  0.565592                 1.60326
          62  0.565592                 1.60326
          63  0.565592                 1.60326
          64  0.565592                 1.60326
          65  0.565592                 1.60326
          66  0.565592                 1.60326
          67  0.565592                 1.60326
          68  0.565592                 1.60326
          69  0.565592                 1.60326
          70  0.565592                 1.60326
          71  0.565592                 1.60326
          72  0.586044841614931        1.81910417334940
          73  0.496495210818959        1.81751230893064     
          74  0.307821168659924        1.68023233194026     
          75  0.226027261044030        1.52241295711409     
          76  7.041516182361111E-002   1.46026270121546     
          77  0.119449942765900        1.11103631568154     
          78  0.162357409273649       0.910264542705166     
          79  0.206057617779831       0.521796469923143     
          80  0.265658202808077        1.48959147439024     
          81  0.350942234376520       0.844179849190580     
          82  0.237725216953169       0.942688801201890     
          83  0.361395569016091        1.51719131013145     
          84  0.105834858166604       0.728712163608260     
          85  1.413192748037825E-002  0.513701672873759     
          86  0.266768573129179       0.267818809011714     
          87  0.319147923682749        1.21225152058022     
          88  0.430869337043835        1.57971046090810     
          89  0.686159                 1.75498
          90  0.686159                 1.75498
          91  0.686159                 1.75498
          92  0.686159                 1.75498
          93  0.686159                 1.75498
          94  0.686159                 1.75498
          95  0.686159                 1.75498
          96  0.686159                 1.75498
          97  0.686159                 1.75498
          98  0.686159                 1.75498
          99  0.686159                 1.75498
         100  0.686159                 1.75498
         101  0.686159                 1.75498
         102  0.686159                 1.75498
         103  0.686159                 1.75498
